category	cell_type	cell_type_clean	file_num	mark	cell_type_clean2
SkeletalMuscle	UW.Fetal_Muscle_Trunk_peaks.bed	Fetal_trunk_muscle	75	H3K4me1	Fetal trunk muscle
Other	UW.Fetal_Placenta_peaks.bed	Fetal_placenta	76	H3K4me1	Fetal placenta
GI	UW.Fetal_Stomach_peaks.bed	Fetal_stomach	77	H3K4me1	Fetal stomach
Other	BI.Adipose_Nuclei_peaks.bed	Adipose_nuclei	78	H3K4me3	Adipose nuclei
Kidney	BI.Adult_Kidney_peaks.bed	Kidney	79	H3K4me3	Kidney
Liver	BI.Adult_Liver_peaks.bed	Liver_(BI)	80	H3K4me3	Liver
CNS	BI.Brain_Angular_Gyrus_peaks.bed	Angular_gyrus	81	H3K4me3	Angular gyrus
CNS	BI.Brain_Anterior_Caudate_peaks.bed	Anterior_caudate	82	H3K4me3	Anterior caudate
CNS	BI.Brain_Cingulate_Gyrus_peaks.bed	Cingulate_gyrus	83	H3K4me3	Cingulate gyrus
CNS	BI.Brain_Hippocampus_Middle_peaks.bed	Hippocampus_middle	84	H3K4me3	Hippocampus middle
CNS	BI.Brain_Inferior_Temporal_Lobe_peaks.bed	Inferior_temporal_lobe	85	H3K4me3	Inferior temporal lobe
CNS	BI.Brain_Mid_Frontal_Lobe_peaks.bed	Mid_frontal_lobe	86	H3K4me3	Mid frontal lobe
CNS	BI.Brain_Substantia_Nigra_peaks.bed	Substantia_nigra	87	H3K4me3	Substantia nigra
Hematopoietic	BI.CD15_Primary_Cells_peaks.bed	CD15_primary	88	H3K4me3	CD15
Hematopoietic	BI.CD19_Primary_Cells_peaks.bed	CD19_primary_(BI)	89	H3K4me3	CD19
Hematopoietic	BI.CD34_Primary_Cells_peaks.bed	CD34_primary	90	H3K4me3	CD34
Hematopoietic	BI.CD3_Primary_Cells_peaks.bed	CD3_primary_(BI)	91	H3K4me3	CD3
Hematopoietic	BI.CD4+_CD25+_CD127-_Treg_Primary_Cells_peaks.bed	CD4+_CD25+_CD127-_Treg_primary	92	H3K4me3	CD4+CD25+CD127- Treg
Hematopoietic	BI.CD4+_CD25-_CD45RA+_Naive_Primary_Cells_peaks.bed	CD4+_CD25-_CD45RA+_naive_primary	93	H3K4me3	CD4+CD25-CD45RA+ naive
Hematopoietic	BI.CD4+_CD25-_CD45RO+_Memory_Primary_Cells_peaks.bed	CD4+_CD25-_CD45R0+_memory_primary	94	H3K4me3	CD4+CD25-CD45RO+ memory
Hematopoietic	BI.CD4+_CD25-_IL17+_PMA-Ionomcyin_stimulated_Th17_Primary_Cells_peaks.bed	CD4+_CD25-_IL17+_PMA_Ionomycin_stim_Th17_primary	95	H3K4me3	CD4+CD25-IL17+ stim Th17
Hematopoietic	BI.CD4+_CD25-_IL17-_PMA-Ionomycin_stimulated_MACS_purified_Th_Primary_Cells_peaks.bed	CD4+_CD25-_IL17-_PMA_Ionomycin_stim_MACS_Th_sprimary	96	H3K4me3	CD4+CD25-IL17- stim Th
Hematopoietic	BI.CD4+_CD25int_CD127+_Tmem_Primary_Cells_peaks.bed	CD4+_CD25int_CD127+_Tmem_primary	97	H3K4me3	CD4+CD25intCD127+ Tmem
Hematopoietic	BI.CD4+_CD25-_Th_Primary_Cells_peaks.bed	CD4+_CD25-_Th_primary	98	H3K4me3	CD4+CD25- Th
Hematopoietic	BI.CD4_Memory_Primary_Cells_peaks.bed	CD4_memory_primary	99	H3K4me3	CD4 memory
Hematopoietic	BI.CD4_Naive_Primary_Cells_peaks.bed	CD4_naive_primary	100	H3K4me3	CD4 naive
Hematopoietic	BI.CD8_Memory_Primary_Cells_peaks.bed	CD8_memory_primary	101	H3K4me3	CD8 memory
Hematopoietic	BI.CD8_Naive_Primary_Cells_peaks.bed	CD8_naive_primary_(BI)	102	H3K4me3	CD8 naive
GI	BI.Colonic_Mucosa_peaks.bed	Colonic_mucosa	103	H3K4me3	Colonic mucosa
GI	BI.Colon_Smooth_Muscle_peaks.bed	Colon_smooth_muscle	104	H3K4me3	Colon smooth muscle
GI	BI.Duodenum_Mucosa_peaks.bed	Duodenum_Mucosa	105	H3K4me3	Duodenum Mucosa
